,categoria,subcategoria,qtd_itens_subcategoria,link_subcategoria
0,Farmácia,Dor e Febre,71,https://www.mecofarma.com/pt/farmacia/dor-e-febre?p=1&product_list_limit=36
1,Farmácia,Dor e Febre,71,https://www.mecofarma.com/pt/farmacia/dor-e-febre?p=2&product_list_limit=36

2,Farmácia,Gripe e Constipação,12,https://www.mecofarma.com/pt/farmacia/gripe-e-constipac-o?p=1&product_list_limit=36
3,Farmácia,Dor de Garganta e Rouquidão,30,https://www.mecofarma.com/pt/farmacia/dor-de-garganta-e-rouquid-o?p=1&product_list_limit=36
4,Farmácia,Tosse,39,https://www.mecofarma.com/pt/farmacia/tosse?p=1&product_list_limit=36
5,Farmácia,Tosse,39,https://www.mecofarma.com/pt/farmacia/tosse?p=2&product_list_limit=36
6,Farmácia,Medicação Infantil,62,https://www.mecofarma.com/pt/farmacia/medicac-o-infantil?p=1&product_list_limit=36
7,Farmácia,Medicação Infantil,62,https://www.mecofarma.com/pt/farmacia/medicac-o-infantil?p=2&product_list_limit=36
8,Farmácia,Nasais,24,https://www.mecofarma.com/pt/farmacia/nasais?p=1&product_list_limit=36
9,Farmácia,Cérebro,12,https://www.mecofarma.com/pt/farmacia/cerebro?p=1&product_list_limit=36
10,Farmácia,Afecções da Pele,116,https://www.mecofarma.com/pt/farmacia/afeccoes-da-pele?p=1&product_list_limit=36
11,Farmácia,Afecções da Pele,116,https://www.mecofarma.com/pt/farmacia/afeccoes-da-pele?p=2&product_list_limit=36
12,Farmácia,Afecções da Pele,116,https://www.mecofarma.com/pt/farmacia/afeccoes-da-pele?p=3&product_list_limit=36
13,Farmácia,Afecções da Pele,116,https://www.mecofarma.com/pt/farmacia/afeccoes-da-pele?p=4&product_list_limit=36
14,Farmácia,Circulação Sanguínea,12,https://www.mecofarma.com/pt/farmacia/circulac-o-sanguinea?p=1&product_list_limit=36
15,Farmácia,Cessação Tabágica,9,https://www.mecofarma.com/pt/farmacia/cessac-o-tabagica?p=1&product_list_limit=36
16,Farmácia,Boca e Dentes,9,https://www.mecofarma.com/pt/farmacia/boca-e-dentes?p=1&product_list_limit=36
17,Farmácia,Estômago,20,https://www.mecofarma.com/pt/farmacia/estomago?p=1&product_list_limit=36
18,Farmácia,Intestinos,60,https://www.mecofarma.com/pt/farmacia/intestinos?p=1&product_list_limit=36
19,Farmácia,Intestinos,60,https://www.mecofarma.com/pt/farmacia/intestinos?p=2&product_list_limit=36
20,Farmácia,Hidratação Oral,3,https://www.mecofarma.com/pt/farmacia/hidratac-o-oral?p=1&product_list_limit=36
21,Farmácia,Figado / Vesícula / Detox,2,https://www.mecofarma.com/pt/farmacia/figado-vesicula-detox?p=1&product_list_limit=36
22,Farmácia,Ginecológicos e Contraceptivos,24,https://www.mecofarma.com/pt/farmacia/ginecologicos-e-contraceptivos?p=1&product_list_limit=36
23,Farmácia,Ossos Músculos e Articulações,16,https://www.mecofarma.com/pt/farmacia/ossos-musculos-e-articulacoes?p=1&product_list_limit=36
24,Farmácia,Vitaminas e Minerais,12,https://www.mecofarma.com/pt/farmacia/vitaminas-e-minerais-1?p=1&product_list_limit=36
25,Farmácia,Cabelo e Unhas,10,https://www.mecofarma.com/pt/farmacia/cabelo-e-unhas?p=1&product_list_limit=36
26,Farmácia,Auriculares,1,https://www.mecofarma.com/pt/farmacia/auriculares?p=1&product_list_limit=36
27,Farmácia,Oftálmicos,15,https://www.mecofarma.com/pt/farmacia/oftalmicos?p=1&product_list_limit=36
28,Mamã e Bebé,Hidratação e Higiene Bebé,266,https://www.mecofarma.com/pt/mam-e-bebe/hidratac-o-e-higiene-bebe?p=1&product_list_limit=36
